hs1	LINC00917-FENDRR	chr16:86,430,087-86,430,726	chr8:123,526,795-123,527,412
hs44	IRX3-CRNDE	chr16:54,616,212-54,617,037	chr8:94,587,719-94,588,517
hs46	IRX3-CRNDE	chr16:54,523,175-54,524,067	chr8:94,497,643-94,498,499
hs47	IRX3-CRNDE	chr16:54,540,302-54,541,446	chr8:94,515,096-94,516,285
hs49	IRX3-CRNDE	chr16:54,385,019-54,385,639	chr8:94,379,775-94,380,385
hs50	IRX3-CRNDE	chr16:54,350,345-54,351,685	chr8:94,350,661-94,352,011
hs51	IRX3-CRNDE	chr16:54,323,420-54,324,336	chr8:94,328,515-94,329,414
hs52	FTO-IT1-IRX3	chr16:54,143,854-54,144,867	chr8:94,188,503-94,189,396
hs53	FTO-IT1-IRX3	chr16:54,139,806-54,140,268	chr8:94,185,813-94,186,248
hs55	FTO-IT1-IRX3	chr16:54,092,614-54,094,121	chr8:94,145,941-94,147,385
hs57	FTO(intragenic)	chr16:53,929,213-53,929,824	chr8:94,015,344-94,015,908
hs58	FTO(intragenic)	chr16:53,760,298-53,761,157	chr8:93,865,926-93,866,771
hs59	RPGRIP1L(intragenic)	chr16:53,726,316-53,727,556	chr8:93,828,956-93,830,184
hs60	AKTIP-RPGRIP1L	chr16:53,578,034-53,578,985	chr8:93,709,198-93,710,130
hs62	TOX3(intragenic)	chr16:52,530,541-52,531,971	chr8:92,825,483-92,826,937
hs63	TOX3(intragenic)	chr16:52,503,834-52,504,926	chr8:92,799,985-92,801,105
hs64	LOC102467079-TOX3	chr16:52,436,255-52,437,376	chr8:92,727,740-92,728,669
hs65	LOC101927364-C16orf97	chr16:51,958,288-51,959,688	chr8:92,254,914-92,256,812
hs66	LOC101927364-C16orf97	chr16:51,817,305-51,818,432	chr8:92,120,124-92,121,214
hs68	SALL1-LOC101927364	chr16:51,786,180-51,787,369	chr8:92,085,771-92,086,980
hs69	SALL1-LOC101927364	chr16:51,757,191-51,758,243	chr8:92,060,101-92,060,945
hs70	SALL1-LOC101927364	chr16:51,732,148-51,733,614	chr8:92,039,647-92,040,986
hs71	SALL1-LOC101927364	chr16:51,671,181-51,672,039	chr8:91,988,832-91,989,702
hs72	SALL1-LOC101927364	chr16:51,657,810-51,658,716	chr8:91,978,407-91,979,282
hs73	SALL1-LOC101927364	chr16:51,576,725-51,578,101	chr8:91,910,746-91,912,201
hs74	SALL1-LOC101927364	chr16:51,560,196-51,560,925	chr8:91,894,988-91,895,731
hs75	SALL1-LOC101927364	chr16:51,389,295-51,390,719	chr8:91,764,846-91,766,537
hs76	SALL1-LOC101927364	chr16:51,231,121-51,232,362	chr8:91,610,286-91,611,473
hs77	LOC101927334-SALL1	chr16:51,129,207-51,130,306	chr8:91,515,454-91,516,543
hs78	LOC101927334-SALL1	chr16:51,106,148-51,107,109	chr8:91,497,074-91,498,013
hs79	LOC101927334(intragenic)	chr16:51,056,311-51,057,592	chr8:91,462,919-91,464,123
hs80	CYLD-LOC101927334	chr16:51,042,253-51,043,115	chr8:91,448,726-91,449,517
hs81	CYLD-LOC101927334	chr16:51,010,690-51,011,608	chr8:91,426,593-91,427,456
hs82	CYLD-LOC101927334	chr16:50,982,029-50,982,689	chr8:91,405,192-91,405,822
hs83	CYLD-LOC101927334	chr16:50,977,028-50,978,183	chr8:91,401,060-91,402,160
hs84	CYLD-LOC101927334	chr16:50,874,863-50,875,709	chr8:91,303,082-91,303,871
hs85	CYLD-LOC101927334	chr16:50,848,355-50,849,656	chr8:91,281,880-91,283,008
hs86	ZNF720(intragenic)	chr16:31,733,057-31,734,604	chr3:36,057,774-36,061,579
hs87	RBFOX1(intragenic)	chr16:7,758,525-7,759,863	chr16:7,407,256-7,408,959
hs88	RBFOX1(intragenic)	chr16:7,418,980-7,419,830	chr16:7,106,491-7,107,139
hs90	RBFOX1(intragenic)	chr16:6,548,841-6,550,064	chr16:6,366,096-6,367,329
hs91	RBFOX1(intragenic)	chr16:7,431,988-7,433,156	chr16:7,119,814-7,120,988
hs92	RBFOX1-TMEM114	chr16:7,886,533-7,888,033	chr16:7,520,491-7,522,007
hs93	RBFOX1-TMEM114	chr16:8,133,046-8,134,289	chr16:7,805,369-7,806,563
hs94	RBFOX1-TMEM114	chr16:8,431,303-8,432,558	chr16:8,198,401-8,199,602
hs95	NPIPA8-XYLT1	chr16:17,096,348-17,097,253	chr7:124,899,804-124,900,727
hs96	XYLT1-NPIPA7	chr16:17,745,104-17,746,413	chr7:124,386,207-124,387,521
hs97	XYLT1-NPIPA7	chr16:18,240,361-18,241,096	chr7:123,830,516-123,831,229
hs98	LOC653786-MIR548D2	chr16:22,684,122-22,685,282	chr7:128,395,692-128,396,760
hs99	HS3ST4(intragenic)	chr16:25,759,215-25,760,529	chr7:131,176,470-131,177,868
hs100	HS3ST4-C16orf82	chr16:26,226,210-26,227,347	chr7:131,645,696-131,647,006
hs101	N4BP1-CBLN1	chr16:48,912,816-48,914,144	chr8:89,644,450-89,646,168
hs102	GOT2-APOOP5	chr16:59,629,741-59,631,254	chr8:99,271,990-99,273,493
hs103	LOC729159-CDH8	chr16:60,683,721-60,685,186	chr8:100,420,720-100,422,145
hs104	LOC729159-CDH8	chr16:61,243,163-61,244,434	chr8:101,009,245-101,010,585
hs105	CDH8-CDH11	chr16:62,942,559-62,944,021	chr8:102,892,855-102,894,335
hs106	CDH8-CDH11	chr16:64,651,540-64,652,894	chr8:104,789,397-104,790,751
hs107	RBFOX1-TMEM114	chr16:8,238,189-8,239,787	chr16:7,946,034-7,947,751
hs108	PMFBP1-ZFHX3	chr16:72,404,533-72,407,591	chr8:111,834,489-111,837,818
hs109	C16orf47-LOC100506172	chr16:73,352,312-73,354,585	chr8:110,989,996-110,992,443
hs110	RPL23P8-SP4	chr7:21,003,280-21,004,750	chr12:119,958,141-119,959,608
hs111	GLI3(intragenic)	chr7:42,191,728-42,193,638	chr13:15,634,863-15,636,840
hs112	DMRT1-DMRT3	chr9:973,435-975,288	chr19:25,681,768-25,683,668
hs113	RCN1-WT1	chr11:32,197,490-32,198,734	chr2:105,173,872-105,175,302
hs116	SCARNA23-ARX	chrX:24,822,603-24,824,623	chrX:90,742,030-90,744,001
hs117	SCARNA23-ARX	chrX:24,864,231-24,865,733	chrX:90,702,706-90,704,214
hs118	SCARNA23-ARX	chrX:24,894,335-24,896,084	chrX:90,674,013-90,675,706
hs119	SCARNA23-ARX	chrX:24,915,382-24,918,272	chrX:90,653,081-90,655,923
hs120	SCARNA23-ARX	chrX:24,945,648-24,947,567	chrX:90,622,003-90,623,955
hs121	SCARNA23-ARX	chrX:25,007,879-25,009,581	chrX:90,555,103-90,556,787
hs122	SCARNA23-ARX	chrX:25,017,067-25,018,756	chrX:90,546,485-90,548,137
hs123	ARX-MAGEB18	chrX:25,400,224-25,402,334	chrX:90,035,076-90,037,409
hs124	N4BP1-CBLN1	chr16:49,094,466-49,095,242	chr8:89,794,448-89,795,278
hs125	GOT2-APOOP5	chr16:59,574,986-59,575,985	chr8:99,221,295-99,222,303
hs126	ATXN8OS-LINC00348	chr13:71,343,609-71,344,868	chr14:97,485,454-97,486,724
hs128	LINC00348(intragenic)	chr13:71,722,458-71,724,962	chr14:97,887,968-97,890,644
hs129	LINC00348-DACH1	chr13:71,774,848-71,775,368	chr14:97,936,806-97,937,314
hs131	DACH1-MZT1	chr13:72,771,271-72,773,876	chr14:98,935,403-98,938,000
hs132	DACH1-MZT1	chr13:73,006,141-73,006,976	chr14:99,164,582-99,165,395
hs133	DACH1-MZT1	chr13:73,067,601-73,068,380	chr14:99,218,703-99,219,453
hs134	DACH1-MZT1	chr13:73,078,567-73,079,883	chr14:99,229,283-99,230,508
hs135	DACH1-MZT1	chr13:73,149,054-73,150,028	chr14:99,293,730-99,294,637
hs136	LINC00348-DACH1	chr13:71,793,422-71,795,334	chr14:97,959,103-97,960,971
hs137	DACH1(intragenic)	chr13:72,300,849-72,302,934	chr14:98,445,841-98,447,867
hs138	DACH1(intragenic)	chr13:72,425,787-72,428,335	chr14:98,553,917-98,556,433
hs140	DACH1-MZT1	chr13:72,693,676-72,695,292	chr14:98,847,594-98,849,358
hs141	DACH1-MZT1	chr13:73,001,083-73,003,053	chr14:99,147,317-99,150,458
hs142	DACH1-MZT1	chr13:73,081,447-73,083,754	chr14:99,231,519-99,233,831
hs143	DACH1-MZT1	chr13:73,087,012-73,088,821	chr14:99,237,680-99,239,795
hs144	DACH1-MZT1	chr13:73,224,400-73,225,906	chr14:99,357,571-99,359,086
hs145	SCARNA23-ARX	chrX:25,018,871-25,020,532	chrX:90,544,847-90,546,386
hs148	MIR548AD-SIX3-AS1	chr2:45,066,752-45,070,624	chr17:85,926,082-85,929,974
hs149	MIR548AD-SIX3-AS1	chr2:45,106,927-45,107,653	chr17:85,961,959-85,962,673
hs150	MIR548AD-SIX3-AS1	chr2:45,128,095-45,129,317	chr17:85,978,175-85,979,318
hs151	IRX5-IRX6	chr16:55,329,289-55,330,760	chr8:95,171,988-95,173,497
hs152	LOC101927334-SALL1	chr16:51,147,012-51,148,642	chr8:91,529,718-91,531,323
hs153	TOX3(intragenic)	chr16:52,557,406-52,558,785	chr8:92,851,858-92,853,376
hs154	LOC102467079-TOX3	chr16:52,242,610-52,244,077	chr8:92,535,457-92,536,878
hs155	FTO(intragenic)	chr16:53,948,201-53,949,846	chr8:94,032,666-94,034,225
hs156	FTO(intragenic)	chr16:53,994,058-53,995,943	chr8:94,069,625-94,071,471
hs157	FTO(intragenic)	chr16:53,986,630-53,988,193	chr8:94,062,197-94,063,720
hs159	WWOX-MAF	chr16:79,381,526-79,382,736	chr8:117,996,942-117,998,428
hs160	LOC101927364-C16orf97	chr16:51,853,597-51,854,931	chr8:92,155,636-92,156,959
hs161	LOC102467079-TOX3	chr16:52,446,050-52,447,237	chr8:92,737,432-92,738,565
hs162	CYLD-LOC101927334	chr16:50,869,692-50,871,098	chr8:91,298,588-91,299,973
hs163	WWOX-MAF	chr16:78,397,855-78,398,920	chr8:117,181,796-117,182,864
hs164	TOX3(intragenic)	chr16:52,551,597-52,552,835	chr8:92,846,136-92,847,392
hs165	PMFBP1-ZFHX3	chr16:72,623,665-72,625,217	chr8:111,646,861-111,648,525
hs166	FTO-IT1-IRX3	chr16:54,249,594-54,251,153	chr8:94,273,786-94,275,311
hs167	FTO-IT1-IRX3	chr16:54,132,651-54,133,957	chr8:94,180,600-94,181,940
hs168	ATG4C-LINC00466	chr1:63,443,534-63,444,884	chr4:99,019,855-99,021,315
hs169	ATG4C-LINC00466	chr1:63,464,282-63,465,717	chr4:99,040,833-99,042,291
hs170	LOC101929570-FIGN	chr2:164,450,144-164,451,758	chr2:63,800,853-63,802,473
hs171	STX18-AS1-MSX1	chr4:4,819,733-4,820,560	chr5:38,242,630-38,243,457
hs172	TBCA(intragenic)	chr5:77,020,605-77,022,508	chr13:95,586,119-95,588,023
hs173	LOC101927021-UNCX	chr7:1,267,832-1,269,169	chr5:140,014,726-140,016,138
hs174	LOC100505768(intragenic)	chr1:87,821,621-87,823,082	chr3:143,836,652-143,838,087
hs175	ESRRG(intragenic)	chr1:216,772,416-216,773,458	chr1:189,942,825-189,943,355
hs176	DACH1-MZT1	chr13:72,938,917-72,940,565	chr14:99,082,442-99,084,074
hs177	ACACA(intragenic)	chr17:35,447,270-35,448,478	chr11:84,209,232-84,210,276
hs178	MAP2K5(intragenic)	chr15:68,079,283-68,080,713	chr9:63,023,883-63,025,083
hs180	LOC102467074-LINC01019	chr5:3,226,121-3,227,484	chr13:72,402,401-72,403,772
hs181	MEIS2(intragenic)	chr15:37,240,805-37,242,498	chr2:115,745,733-115,747,387
hs182	DACH1(intragenic)	chr13:72,255,836-72,257,039	chr14:98,418,007-98,419,274
hs183	LMO1(intragenic)	chr11:8,275,137-8,276,335	chr7:116,304,836-116,306,227
hs184	SPATA8-LOC101927310	chr15:97,391,638-97,393,001	chr7:76,989,653-76,990,980
hs185	MAPKAP1(intragenic)	chr9:128,406,147-128,407,653	chr2:34,310,737-34,312,323
hs186	NRON-LMX1B	chr9:129,198,400-129,200,739	chr2:33,643,663-33,645,979
hs187	FOXP1-MIR1284	chr3:71,290,418-71,292,584	chr6:99,151,224-99,153,431
hs188	DACH1(intragenic)	chr13:72,345,980-72,348,230	chr14:98,482,182-98,484,489
hs189	LOC101927284-ABCC4	chr13:95,618,516-95,619,850	chr14:118,834,760-118,836,087
hs190	MDFIC-TFEC	chr7:115,313,238-115,315,056	chr6:16,497,563-16,499,382
hs191	ARRDC3-AS1-NR2F1-AS1	chr5:91,036,888-91,038,899	chr13:80,653,248-80,655,271
hs192	DNAJC19-SOX2-OT	chr3:180,773,639-180,775,802	chr3:34,002,549-34,004,729
hs194	FAF1(intragenic)	chr1:51,034,546-51,036,289	chr4:109,531,316-109,533,048
hs195	ZFPM2(intragenic)	chr8:106,333,530-106,334,859	chr15:40,489,408-40,490,806
hs196	DMRT1-DMRT3	chr9:968,797-970,093	chr19:25,678,517-25,679,466
hs197	FAF1(intragenic)	chr1:51,098,841-51,099,913	chr4:109,478,584-109,479,627
hs198	ELP4(intragenic)	chr11:31,785,423-31,787,226	chr2:105,558,914-105,560,693
hs200	FAF1(intragenic)	chr1:51,165,195-51,166,786	chr4:109,434,849-109,436,376
hs201	LOC100422212-PBX1	chr1:163,939,700-163,940,637	chr1:170,921,225-170,922,187
hs202	LOC100422212-PBX1	chr1:164,023,244-164,024,214	chr1:170,838,536-170,839,518
hs203	PBX1(intragenic)	chr1:164,637,575-164,639,037	chr1:170,257,202-170,258,628
hs204	RPS6KC1-LINC00538	chr1:213,597,964-213,599,524	chr1:192,477,619-192,479,001
hs205	SPRED2-MIR4778	chr2:66,297,527-66,299,214	chr11:19,249,985-19,251,628
hs206	LINC01212-FOXP1	chr3:70,565,242-70,566,852	chr6:98,459,370-98,461,042
hs207	LINC01212-FOXP1	chr3:70,871,316-70,872,957	chr6:98,717,386-98,719,027
hs208	IL20RB-SOX14	chr3:136,982,707-136,984,175	chr9:100,171,947-100,173,392
hs209	IL20RB-SOX14	chr3:137,047,544-137,049,271	chr9:100,110,570-100,112,356
hs210	IL20RB-SOX14	chr3:137,067,622-137,068,925	chr9:100,094,439-100,095,748
hs211	IL20RB-SOX14	chr3:137,125,171-137,126,977	chr9:100,066,841-100,068,644
hs212	PLSCR5-ZIC4	chr3:147,030,229-147,031,770	chr9:91,357,195-91,358,729
hs213	PLSCR5-ZIC4	chr3:147,049,536-147,051,100	chr9:91,340,605-91,342,122
hs214	AKT3(intragenic)	chr1:243,895,796-243,896,468	chr1:179,101,361-179,102,030
hs215	LOC100287592-LOC642366	chr5:50,335,050-50,336,643	chr13:117,421,661-117,423,245
hs216	TFAP2B-PKHD1	chr6:51,076,205-51,077,209	chr1:19,548,028-19,548,923
hs217	TFAP2B-PKHD1	chr6:51,148,668-51,149,710	chr1:19,689,539-19,690,611
hs218	FOXP2(intragenic)	chr7:114,056,847-114,058,647	chr6:15,137,323-15,139,118
hs219	FOXP2(intragenic)	chr7:114,062,615-114,063,919	chr6:15,142,947-15,144,270
hs220	FOXP2(intragenic)	chr7:114,070,779-114,073,266	chr6:15,151,156-15,153,663
hs221	FOXP2(intragenic)	chr7:114,208,952-114,210,310	chr6:15,272,791-15,274,149
hs222	MIR3666-MDFIC	chr7:114,295,109-114,296,373	chr6:15,356,720-15,357,971
hs223	BHLHE22-CYP7B1	chr8:65,496,564-65,497,586	chr3:17,957,876-17,958,899
hs224	HIF1AN-PAX2	chr10:102,372,214-102,374,206	chr19:44,705,460-44,707,531
hs225	HIF1AN-PAX2	chr10:102,374,886-102,375,478	chr19:44,708,134-44,708,716
hs228	HIF1AN-PAX2	chr10:102,447,081-102,448,985	chr19:44,773,087-44,775,208
hs229	PAX2(intragenic)	chr10:102,546,590-102,548,095	chr19:44,871,011-44,872,504
hs230	EBF1(intragenic)	chr5:158,340,962-158,342,611	chr11:44,613,229-44,614,939
hs231	EBF2(intragenic)	chr8:25,775,160-25,776,669	chr14:67,979,861-67,981,401
hs232	MIR4297-LINC00959	chr10:131,691,086-131,692,848	chr7:144,441,739-144,443,473
hs233	SOX5-MIR920	chr12:24,291,012-24,292,724	chr6:144,315,332-144,317,004
hs234	ELP4(intragenic)	chr11:31,685,357-31,686,884	chr2:105,618,687-105,620,196
hs235	INSC-SOX6	chr11:15,623,970-15,625,123	chr7:122,313,154-122,314,239
hs236	MIR6073-C11orf58	chr11:16,316,207-16,317,562	chr7:122,893,056-122,894,371
hs238	MIR3659-LOC339442	chr1:38,560,194-38,561,606	chr4:124,292,651-124,294,055
hs239	SP8-RPL23P8	chr7:20,829,390-20,830,407	chr12:120,081,935-120,083,029
hs240	TLE4-TLE1	chr9:83,727,123-83,728,378	chr4:71,144,778-71,146,022
hs241	CASZ1-C1orf127	chr1:10,965,129-10,966,144	chr4:148,082,233-148,083,305
hs242	MLK7-AS1(intragenic)	chr2:174,114,371-174,115,933	chr2:72,264,212-72,265,755
hs243	OLA1(intragenic)	chr2:174,985,544-174,987,464	chr2:72,977,428-72,979,470
hs244	OLA1(intragenic)	chr2:174,988,737-174,990,363	chr2:72,980,728-72,982,329
hs245	SP9-CIR1	chr2:175,207,310-175,208,242	chr2:73,117,624-73,118,530
hs246	KIAA1715-EVX2	chr2:176,940,070-176,941,410	chr2:74,488,917-74,490,292
hs247	FAF1(intragenic)	chr1:51,006,090-51,007,314	chr4:109,554,618-109,555,892
hs248	LOC102724224(intragenic)	chr2:177,503,157-177,503,671	chr2:74,976,277-74,976,820
hs249	AGAP1-GBX2	chr2:237,071,364-237,071,848	chr1:91,822,092-91,822,575
hs250	LOC339862(intragenic)	chr3:18,169,362-18,170,237	chr17:51,675,683-51,676,643
hs251	SATB1-KCNH8	chr3:18,844,368-18,845,392	chr17:52,364,835-52,365,855
hs252	SATB1-KCNH8	chr3:19,033,849-19,034,569	chr17:52,604,445-52,605,152
hs253	ZBTB20-AS1-MIR4796	chr3:114,433,184-114,435,415	chr16:43,276,887-43,279,050
hs254	MIR4796-GAP43	chr3:114,574,745-114,576,011	chr16:43,122,085-43,123,669
hs255	MIR4796-GAP43	chr3:114,611,706-114,612,491	chr16:43,080,268-43,081,021
hs256	RSRC1(intragenic)	chr3:157,989,611-157,990,466	chr3:66,950,895-66,951,717
hs257	RSRC1(intragenic)	chr3:158,025,746-158,027,384	chr3:66,994,854-66,996,512
hs258	LOC101928882(intragenic)	chr3:180,436,427-180,437,958	chr3:33,781,318-33,782,778
hs259	HS3ST1-RAB28	chr4:13,009,318-13,010,327	chr5:41,652,660-41,653,642
hs260	TACR3-CXXC4	chr4:105,345,575-105,346,895	chr3:133,965,341-133,966,666
hs261	LOC102467075-IRX1	chr5:3,511,978-3,513,399	chr13:72,165,914-72,167,347
hs262	OTP-TBCA	chr5:76,940,836-76,941,396	chr13:95,638,850-95,639,388
hs263	TBCA-LOC101929154	chr5:77,139,721-77,140,742	chr13:95,479,809-95,480,846
hs264	TBCA-LOC101929154	chr5:77,147,580-77,148,599	chr13:95,471,815-95,472,867
hs265	LOC101929154-AP3B1	chr5:77,267,384-77,269,206	chr13:95,365,484-95,367,201
hs266	CCNH-TMEM161B	chr5:87,168,414-87,169,433	chr13:84,778,588-84,779,575
hs267	CCNH-TMEM161B	chr5:87,239,942-87,241,645	chr13:84,710,013-84,711,772
hs268	TMEM161B-AS1(intragenic)	chr5:87,692,154-87,693,265	chr13:84,199,108-84,200,220
hs269	ARRDC3-AS1-NR2F1-AS1	chr5:90,928,612-90,929,226	chr13:80,762,168-80,762,775
hs270	LOC339442-RRAGC	chr1:38,801,888-38,802,630	chr4:124,072,592-124,073,340
hs271	POU5F2-KIAA0825	chr5:93,226,985-93,228,322	chr13:78,031,473-78,032,794
hs272	KIAA0825(intragenic)	chr5:93,575,407-93,576,629	chr13:77,629,194-77,630,410
hs273	KIAA0825(intragenic)	chr5:93,649,881-93,651,432	chr13:77,535,615-77,537,145
hs274	TENM2(intragenic)	chr5:167,332,346-167,333,651	chr11:36,163,386-36,164,682
hs275	RANBP17(intragenic)	chr5:170,417,337-170,418,459	chr11:33,329,906-33,331,024
hs277	ERI3-IT1-RNF220	chr1:44,715,420-44,716,129	chr4:117,319,511-117,320,215
hs278	RANBP17(intragenic)	chr5:170,627,990-170,630,018	chr11:33,199,598-33,201,607
hs279	HULC-TFAP2A	chr6:10,393,875-10,395,072	chr13:40,807,668-40,808,868
hs280	RNF220(intragenic)	chr1:44,989,824-44,991,149	chr4:117,063,587-117,064,919
hs281	FOXP4(intragenic)	chr6:41,523,224-41,523,677	chr17:48,051,722-48,052,305
hs282	LOC101927314(intragenic)	chr6:98,116,085-98,116,943	chr4:23,910,599-23,911,454
hs283	LOC101927314-MIR2113	chr6:98,362,399-98,363,804	chr4:23,658,983-23,660,391
hs284	MIR2113-POU3F2	chr6:98,719,759-98,720,510	chr4:23,268,167-23,268,903
hs285	HIF1AN-PAX2	chr10:102,414,915-102,415,578	chr19:44,745,295-44,745,921
hs286	HIF1AN-PAX2	chr10:102,419,119-102,419,731	chr19:44,749,116-44,749,728
hs288	MIR2113-POU3F2	chr6:98,813,608-98,814,940	chr4:23,100,132-23,101,467
hs289	CASZ1(intragenic)	chr1:10,732,070-10,733,118	chr4:148,295,613-148,296,681
hs290	MIR2113-POU3F2	chr6:98,995,483-98,996,450	chr4:22,873,378-22,874,319
hs292	ASCC3(intragenic)	chr6:100,973,811-100,974,593	chr10:50,553,525-50,554,279
hs293	LOC101927021-UNCX	chr7:1,265,154-1,266,318	chr5:140,012,199-140,013,382
hs294	DNAH11(intragenic)	chr7:21,811,370-21,812,002	chr12:119,227,603-119,228,162
hs295	AGBL4(intragenic)	chr1:49,112,757-49,113,363	chr4:111,225,456-111,226,051
hs296	SKAP2(intragenic)	chr7:26,728,697-26,729,802	chr6:51,828,611-51,829,693
hs297	NEUROD6-CCDC129	chr7:31,401,914-31,403,016	chr6:55,653,693-55,654,791
hs298	DLX6-AS1(intragenic)	chr7:96,633,582-96,634,303	chr6:6,811,655-6,812,377
hs299	MDFIC-TFEC	chr7:115,115,427-115,117,325	chr6:16,265,852-16,267,823
hs300	MDFIC-TFEC	chr7:115,133,829-115,135,428	chr6:16,282,591-16,284,210
hs301	TFEC(intragenic)	chr7:115,582,121-115,582,622	chr6:16,785,376-16,785,875
hs302	KCNU1-ZNF703	chr8:37,249,594-37,251,182	chr8:27,799,254-27,800,832
hs303	LINC00251-LOC286186	chr8:66,148,927-66,149,836	chr3:18,613,569-18,614,476
hs304	TMEM261-PTPRD	chr9:8,095,553-8,096,166	chr4:75,346,697-75,347,300
hs305	LINC00583(intragenic)	chr9:13,939,547-13,940,363	chr4:81,799,486-81,800,284
hs306	CCDC171(intragenic)	chr9:15,874,184-15,874,505	chr4:83,440,757-83,441,075
hs307	BNC2(intragenic)	chr9:16,710,536-16,711,184	chr4:84,174,921-84,175,650
hs308	CNTLN(intragenic)	chr9:17,331,971-17,332,580	chr4:84,641,732-84,642,336
hs309	LINC01239-ELAVL2	chr9:23,496,285-23,497,394	chr4:90,694,173-90,695,279
hs310	ZCCHC7(intragenic)	chr9:37,215,016-37,215,775	chr4:44,843,137-44,843,890
hs311	ATG4C-LINC00466	chr1:63,369,349-63,370,894	chr4:98,961,102-98,962,673
hs312	PSAT1-LOC101927450	chr9:81,471,747-81,473,114	chr19:15,414,672-15,416,040
hs313	LOC101927450-TLE4	chr9:81,870,622-81,872,224	chr19:14,965,044-14,966,640
hs314	MIR7150-LHX2	chr9:126,537,718-126,539,929	chr2:37,998,078-38,000,394
hs316	PBX3(intragenic)	chr9:128,583,956-128,584,480	chr2:34,166,101-34,166,623
hs317	PBX3(intragenic)	chr9:128,671,865-128,673,002	chr2:34,084,956-34,086,097
hs318	DRGX-ERCC6	chr10:50,603,805-50,605,254	chr14:33,411,439-33,412,907
hs319	ZNF503-AS1-ZNF503	chr10:77,138,246-77,139,684	chr14:22,786,049-22,787,461
hs320	C10orf11(intragenic)	chr10:77,726,861-77,727,618	chr14:23,324,582-23,325,343
hs321	C10orf11(intragenic)	chr10:77,989,996-77,991,469	chr14:23,564,158-23,565,614
